alpha,attack_type,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,krum,0.89598
0.05,gaussian_noise,trimmed_mean,0.73821
0.05,krum_collusion,fltrust,0.6399
0.05,label_flipping,fltrust,0.63995
0.05,low_mag_backdoor,trimmed_mean,0.76468
0.05,sign_flipping,fltrust,0.6482699999999999
0.05,trim_attack,fltrust,0.6490400000000001
0.1,fltrust_aligned,krum,0.89445
0.1,gaussian_noise,trimmed_mean,0.8051900000000002
0.1,krum_collusion,fltrust,0.62514
0.1,label_flipping,fltrust,0.62377
0.1,low_mag_backdoor,trimmed_mean,0.8310599999999999
0.1,sign_flipping,fltrust,0.6227699999999999
0.1,trim_attack,fltrust,0.62287
0.5,fltrust_aligned,median,0.89978
0.5,gaussian_noise,trimmed_mean,0.89474
0.5,krum_collusion,krum,0.88238
0.5,label_flipping,trimmed_mean,0.88595
0.5,low_mag_backdoor,trimmed_mean,0.8985899999999999
0.5,sign_flipping,krum,0.8844100000000001
0.5,trim_attack,trimmed_mean,0.86913
