alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.5,fltrust_aligned,FedStrategist,b,0.8887999999999998,42,FedStrategist,a,0.8893000000000001,-0.000500000000000278
0.5,trim_attack,FedStrategist,b,0.8587,42,FedStrategist,a,0.8600999999999999,-0.0013999999999998458
0.5,krum_collusion,FedStrategist,b,0.8685,42,FedStrategist,a,0.8351000000000001,0.033399999999999985
0.5,low_mag_backdoor,FedStrategist,b,0.8421,42,FedStrategist,a,0.8413,0.0007999999999999119
0.5,sign_flipping,FedStrategist,b,0.828,42,FedStrategist,a,0.8057000000000001,0.022299999999999875
0.5,gaussian_noise,FedStrategist,b,0.7876000000000001,42,FedStrategist,a,0.8054,-0.017799999999999927
0.5,label_flipping,FedStrategist,b,0.8698,42,FedStrategist,a,0.8829,-0.0131
0.1,fltrust_aligned,FedStrategist,b,0.7515000000000001,42,FedStrategist,a,0.7694000000000001,-0.017900000000000027
0.1,trim_attack,FedStrategist,b,0.4888,42,FedStrategist,a,0.4587,0.030100000000000016
0.1,krum_collusion,FedStrategist,b,0.6406,42,FedStrategist,a,0.6357,0.004899999999999904
0.1,low_mag_backdoor,FedStrategist,b,0.8539999999999999,42,FedStrategist,a,0.8535,0.0004999999999998339
0.1,sign_flipping,FedStrategist,b,0.6059,42,FedStrategist,a,0.6003000000000001,0.005599999999999938
0.1,gaussian_noise,FedStrategist,b,0.5908,42,FedStrategist,a,0.5826999999999999,0.008100000000000107
0.1,label_flipping,FedStrategist,b,0.7309999999999999,42,FedStrategist,a,0.7267,0.0042999999999998595
0.05,fltrust_aligned,FedStrategist,b,0.7574,42,FedStrategist,a,0.7564,0.0010000000000000009
0.05,trim_attack,FedStrategist,b,0.6073999999999999,42,FedStrategist,a,0.6081000000000001,-0.000700000000000145
0.05,krum_collusion,FedStrategist,b,0.6767000000000001,42,FedStrategist,a,0.6777000000000001,-0.0010000000000000009
0.05,low_mag_backdoor,FedStrategist,b,0.7293,42,FedStrategist,a,0.7236,0.005699999999999927
0.05,sign_flipping,FedStrategist,b,0.5255000000000001,42,FedStrategist,a,0.5244,0.001100000000000101
0.05,gaussian_noise,FedStrategist,b,0.5404,42,FedStrategist,a,0.546,-0.005600000000000049
0.05,label_flipping,FedStrategist,b,0.4255,42,FedStrategist,a,0.6693,-0.24380000000000002
0.5,fltrust_aligned,FedStrategist,b,0.8863,43,FedStrategist,a,0.8823000000000001,0.0039999999999998925
0.5,trim_attack,FedStrategist,b,0.8613,43,FedStrategist,a,0.8751,-0.013800000000000034
0.5,krum_collusion,FedStrategist,b,0.8869999999999999,43,FedStrategist,a,0.8772,0.00979999999999992
0.5,low_mag_backdoor,FedStrategist,b,0.8427,43,FedStrategist,a,0.9027,-0.05999999999999994
0.5,sign_flipping,FedStrategist,b,0.8261,43,FedStrategist,a,0.8055999999999999,0.020500000000000074
0.5,gaussian_noise,FedStrategist,b,0.8025,43,FedStrategist,a,0.8070999999999999,-0.0045999999999999375
0.5,label_flipping,FedStrategist,b,0.8761000000000001,43,FedStrategist,a,0.8763,-0.00019999999999986695
0.1,fltrust_aligned,FedStrategist,b,0.8631,43,FedStrategist,a,0.7972,0.06589999999999996
0.1,trim_attack,FedStrategist,b,0.4953,43,FedStrategist,a,0.4678000000000001,0.027499999999999913
0.1,krum_collusion,FedStrategist,b,0.6419000000000001,43,FedStrategist,a,0.6468,-0.004899999999999904
0.1,low_mag_backdoor,FedStrategist,b,0.8536999999999999,43,FedStrategist,a,0.8539,-0.000200000000000089
0.1,sign_flipping,FedStrategist,b,0.6065,43,FedStrategist,a,0.6051,0.0014000000000000679
0.1,gaussian_noise,FedStrategist,b,0.6077,43,FedStrategist,a,0.6081999999999999,-0.0004999999999998339
0.1,label_flipping,FedStrategist,b,0.7438,43,FedStrategist,a,0.7436,0.00019999999999997797
0.05,fltrust_aligned,FedStrategist,b,0.7451,43,FedStrategist,a,0.735,0.010099999999999998
0.05,trim_attack,FedStrategist,b,0.6033000000000001,43,FedStrategist,a,0.6014999999999999,0.0018000000000001348
0.05,krum_collusion,FedStrategist,b,0.6763000000000001,43,FedStrategist,a,0.6834,-0.007099999999999884
0.05,low_mag_backdoor,FedStrategist,b,0.7177,43,FedStrategist,a,0.8360999999999998,-0.11839999999999984
0.05,sign_flipping,FedStrategist,b,0.5471,43,FedStrategist,a,0.4986,0.04850000000000004
0.05,gaussian_noise,FedStrategist,b,0.5734,43,FedStrategist,a,0.4999,0.07350000000000001
0.05,label_flipping,FedStrategist,b,0.434,43,FedStrategist,a,0.6712,-0.23720000000000002
0.5,fltrust_aligned,FedStrategist,b,0.8868,44,FedStrategist,a,0.8875,-0.0006999999999999229
0.5,trim_attack,FedStrategist,b,0.8628,44,FedStrategist,a,0.857,0.005800000000000027
0.5,krum_collusion,FedStrategist,b,0.8785999999999999,44,FedStrategist,a,0.8482,0.030399999999999983
0.5,low_mag_backdoor,FedStrategist,b,0.841,44,FedStrategist,a,0.8412,-0.00019999999999997797
0.5,sign_flipping,FedStrategist,b,0.8285,44,FedStrategist,a,0.8035,0.025000000000000022
0.5,gaussian_noise,FedStrategist,b,0.6542000000000001,44,FedStrategist,a,0.805,-0.15079999999999993
0.5,label_flipping,FedStrategist,b,0.8798999999999999,44,FedStrategist,a,0.877,0.0028999999999999027
0.1,fltrust_aligned,FedStrategist,b,0.7491999999999999,44,FedStrategist,a,0.7478,0.0013999999999998458
0.1,trim_attack,FedStrategist,b,0.4683999999999999,44,FedStrategist,a,0.4530999999999999,0.015300000000000036
0.1,krum_collusion,FedStrategist,b,0.6311000000000001,44,FedStrategist,a,0.6363000000000001,-0.005199999999999982
0.1,low_mag_backdoor,FedStrategist,b,0.8539999999999999,44,FedStrategist,a,0.8539999999999999,0.0
0.1,sign_flipping,FedStrategist,b,0.6085,44,FedStrategist,a,0.6098,-0.0012999999999999678
0.1,gaussian_noise,FedStrategist,b,0.683,44,FedStrategist,a,0.6906,-0.00759999999999994
0.1,label_flipping,FedStrategist,b,0.7407,44,FedStrategist,a,0.7399,0.0008000000000000229
0.05,fltrust_aligned,FedStrategist,b,0.7637,44,FedStrategist,a,0.7459,0.017800000000000038
0.05,trim_attack,FedStrategist,b,0.6081,44,FedStrategist,a,0.6101,-0.0020000000000000018
0.05,krum_collusion,FedStrategist,b,0.6769,44,FedStrategist,a,0.6851,-0.008200000000000096
0.05,low_mag_backdoor,FedStrategist,b,0.7202999999999999,44,FedStrategist,a,0.7233999999999999,-0.0030999999999999917
0.05,sign_flipping,FedStrategist,b,0.5502,44,FedStrategist,a,0.5464,0.0038000000000000256
0.05,gaussian_noise,FedStrategist,b,0.5783,44,FedStrategist,a,0.5715,0.006800000000000028
0.05,label_flipping,FedStrategist,b,0.7106,44,FedStrategist,a,0.7062999999999999,0.0043000000000000815
0.5,fltrust_aligned,FedStrategist,b,0.8863,45,FedStrategist,a,0.8859999999999999,0.000300000000000078
0.5,trim_attack,FedStrategist,b,0.8718,45,FedStrategist,a,0.8733999999999998,-0.0015999999999998238
0.5,krum_collusion,FedStrategist,b,0.89,45,FedStrategist,a,0.8865999999999999,0.0034000000000000696
