alpha,attack_type,best_adaptive_system,best_adaptive_accuracy,best_fixed_rule,best_fixed_rule_accuracy,gap,combined_std,gap_exceeds_std
0.05,fltrust_aligned,FedStrategist,0.7512199999999999,krum,0.89598,-0.1447600000000001,0.010798202171482836,False
0.05,gaussian_noise,AdaAggRL,0.8032,trimmed_mean,0.73821,0.06498999999999999,0.006618604021463638,True
0.05,krum_collusion,AdaAggRL,0.8039200000000001,fltrust,0.6399,0.16402000000000005,0.029424008809545658,True
0.05,label_flipping,AdaAggRL,0.62105,fltrust,0.63995,-0.018900000000000028,0.15711236807793916,False
0.05,low_mag_backdoor,AdaAggRL,0.7582200000000001,trimmed_mean,0.76468,-0.00645999999999991,0.07478830291273367,False
0.05,sign_flipping,AdaAggRL,0.7225100000000001,fltrust,0.6482699999999999,0.0742400000000002,0.10088418688117129,False
0.05,trim_attack,AdaAggRL,0.79722,fltrust,0.6490400000000001,0.14817999999999998,0.042297536585948245,True
0.1,fltrust_aligned,FedStrategist,0.78131,krum,0.89445,-0.11314000000000002,0.04379351735928399,False
0.1,gaussian_noise,AdaAggRL,0.8385299999999999,trimmed_mean,0.8051900000000002,0.0333399999999997,0.009836598429186012,True
0.1,krum_collusion,AdaAggRL,0.8347900000000001,fltrust,0.62514,0.20965000000000011,0.04042453011708498,True
0.1,label_flipping,FedStrategist,0.7376199999999999,fltrust,0.62377,0.1138499999999999,0.032023855598646046,True
0.1,low_mag_backdoor,FedStrategist,0.85344,trimmed_mean,0.8310599999999999,0.022380000000000067,0.0030167219403479367,True
0.1,sign_flipping,AdaAggRL,0.8018699999999999,fltrust,0.6227699999999999,0.17909999999999993,0.05371409000427699,True
0.1,trim_attack,AdaAggRL,0.81423,fltrust,0.62287,0.19135999999999997,0.05479075563115584,True
0.5,fltrust_aligned,FedStrategist,0.8863,median,0.89978,-0.013480000000000047,0.002366797074869375,False
0.5,gaussian_noise,AdaAggRL,0.8962899999999999,trimmed_mean,0.89474,0.0015499999999999403,0.0012544580246152467,True
0.5,krum_collusion,AdaAggRL,0.89451,krum,0.88238,0.012129999999999974,0.01802446964001441,False
0.5,label_flipping,FedStrategist,0.8771799999999998,trimmed_mean,0.88595,-0.008770000000000167,0.0035388682985599456,False
0.5,low_mag_backdoor,GRADF,0.8968300000000001,trimmed_mean,0.8985899999999999,-0.0017599999999997618,0.00793183074633121,False
0.5,sign_flipping,AdaAggRL,0.8854799999999999,krum,0.8844100000000001,0.0010699999999997933,0.01735694863386714,False
0.5,trim_attack,AdaAggRL,0.8949300000000001,trimmed_mean,0.86913,0.025800000000000156,0.0049171074894080275,True
