alpha,attack_type,best_system,best_accuracy,best_fixed_rule,best_fixed_rule_accuracy,gap,combined_std,gap_exceeds_std
0.05,gaussian_noise,AdaAggRL,0.8032,trimmed_mean,0.73821,0.06498999999999999,0.006618604021463638,True
0.05,krum_collusion,AdaAggRL,0.8039200000000001,fltrust,0.6399,0.16402000000000005,0.029424008809545658,True
0.05,label_flipping,Oracle (decoupled),0.66334,fltrust,0.63995,0.023390000000000022,0.040880081948612236,False
0.05,low_mag_backdoor,Oracle (decoupled),0.8495699999999999,trimmed_mean,0.76468,0.08488999999999991,0.003805035214897596,True
0.05,sign_flipping,AdaAggRL,0.7225100000000001,fltrust,0.6482699999999999,0.0742400000000002,0.10088418688117129,False
0.05,trim_attack,AdaAggRL,0.79722,fltrust,0.6490400000000001,0.14817999999999998,0.042297536585948245,True
0.1,gaussian_noise,AdaAggRL,0.8385299999999999,trimmed_mean,0.8051900000000002,0.0333399999999997,0.009836598429186012,True
0.1,krum_collusion,AdaAggRL,0.8347900000000001,fltrust,0.62514,0.20965000000000011,0.04042453011708498,True
0.1,label_flipping,Oracle (decoupled),0.7538,fltrust,0.62377,0.13002999999999998,0.0303114953201353,True
0.1,low_mag_backdoor,Oracle (decoupled),0.85402,trimmed_mean,0.8310599999999999,0.02296000000000009,0.006841116221674417,True
0.1,sign_flipping,AdaAggRL,0.8018699999999999,fltrust,0.6227699999999999,0.17909999999999993,0.05371409000427699,True
0.1,trim_attack,AdaAggRL,0.81423,fltrust,0.62287,0.19135999999999997,0.05479075563115584,True
0.5,gaussian_noise,AdaAggRL,0.8962899999999999,trimmed_mean,0.89474,0.0015499999999999403,0.0012544580246152467,True
0.5,krum_collusion,AdaAggRL,0.89451,krum,0.88238,0.012129999999999974,0.01802446964001441,False
0.5,label_flipping,Oracle (decoupled),0.8949499999999999,trimmed_mean,0.88595,0.008999999999999897,0.0020150929150568537,True
0.5,low_mag_backdoor,Oracle (decoupled),0.9035499999999999,trimmed_mean,0.8985899999999999,0.0049599999999999644,0.0014908831300985026,True
0.5,sign_flipping,Oracle (decoupled),0.8891,krum,0.8844100000000001,0.004689999999999861,0.00256626421407066,True
0.5,trim_attack,AdaAggRL,0.8949300000000001,trimmed_mean,0.86913,0.025800000000000156,0.0049171074894080275,True
