alpha,attack_type,system,variant,accuracy,seed
0.5,fltrust_aligned,FedStrategist,a,0.8893000000000001,42
0.5,trim_attack,FedStrategist,a,0.8600999999999999,42
0.5,krum_collusion,FedStrategist,a,0.8351000000000001,42
0.5,low_mag_backdoor,FedStrategist,a,0.8413,42
0.5,sign_flipping,FedStrategist,a,0.8057000000000001,42
0.5,gaussian_noise,FedStrategist,a,0.8054,42
0.5,label_flipping,FedStrategist,a,0.8829,42
0.1,fltrust_aligned,FedStrategist,a,0.7694000000000001,42
0.1,trim_attack,FedStrategist,a,0.4587,42
0.1,krum_collusion,FedStrategist,a,0.6357,42
0.1,low_mag_backdoor,FedStrategist,a,0.8535,42
0.1,sign_flipping,FedStrategist,a,0.6003000000000001,42
0.1,gaussian_noise,FedStrategist,a,0.5826999999999999,42
0.1,label_flipping,FedStrategist,a,0.7267,42
0.05,fltrust_aligned,FedStrategist,a,0.7564,42
0.05,trim_attack,FedStrategist,a,0.6081000000000001,42
0.05,krum_collusion,FedStrategist,a,0.6777000000000001,42
0.05,low_mag_backdoor,FedStrategist,a,0.7236,42
0.05,sign_flipping,FedStrategist,a,0.5244,42
0.05,gaussian_noise,FedStrategist,a,0.546,42
0.05,label_flipping,FedStrategist,a,0.6693,42
0.5,fltrust_aligned,FedStrategist,a,0.8823000000000001,43
0.5,trim_attack,FedStrategist,a,0.8751,43
0.5,krum_collusion,FedStrategist,a,0.8772,43
0.5,low_mag_backdoor,FedStrategist,a,0.9027,43
0.5,sign_flipping,FedStrategist,a,0.8055999999999999,43
0.5,gaussian_noise,FedStrategist,a,0.8070999999999999,43
0.5,label_flipping,FedStrategist,a,0.8763,43
0.1,fltrust_aligned,FedStrategist,a,0.7972,43
0.1,trim_attack,FedStrategist,a,0.4678000000000001,43
0.1,krum_collusion,FedStrategist,a,0.6468,43
0.1,low_mag_backdoor,FedStrategist,a,0.8539,43
0.1,sign_flipping,FedStrategist,a,0.6051,43
0.1,gaussian_noise,FedStrategist,a,0.6081999999999999,43
0.1,label_flipping,FedStrategist,a,0.7436,43
0.05,fltrust_aligned,FedStrategist,a,0.735,43
0.05,trim_attack,FedStrategist,a,0.6014999999999999,43
0.05,krum_collusion,FedStrategist,a,0.6834,43
0.05,low_mag_backdoor,FedStrategist,a,0.8360999999999998,43
0.05,sign_flipping,FedStrategist,a,0.4986,43
0.05,gaussian_noise,FedStrategist,a,0.4999,43
0.05,label_flipping,FedStrategist,a,0.6712,43
0.5,fltrust_aligned,FedStrategist,a,0.8875,44
0.5,trim_attack,FedStrategist,a,0.857,44
0.5,krum_collusion,FedStrategist,a,0.8482,44
0.5,low_mag_backdoor,FedStrategist,a,0.8412,44
0.5,sign_flipping,FedStrategist,a,0.8035,44
0.5,gaussian_noise,FedStrategist,a,0.805,44
0.5,label_flipping,FedStrategist,a,0.877,44
0.1,fltrust_aligned,FedStrategist,a,0.7478,44
0.1,trim_attack,FedStrategist,a,0.4530999999999999,44
0.1,krum_collusion,FedStrategist,a,0.6363000000000001,44
0.1,low_mag_backdoor,FedStrategist,a,0.8539999999999999,44
0.1,sign_flipping,FedStrategist,a,0.6098,44
0.1,gaussian_noise,FedStrategist,a,0.6906,44
0.1,label_flipping,FedStrategist,a,0.7399,44
0.05,fltrust_aligned,FedStrategist,a,0.7459,44
0.05,trim_attack,FedStrategist,a,0.6101,44
0.05,krum_collusion,FedStrategist,a,0.6851,44
0.05,low_mag_backdoor,FedStrategist,a,0.7233999999999999,44
0.05,sign_flipping,FedStrategist,a,0.5464,44
0.05,gaussian_noise,FedStrategist,a,0.5715,44
0.05,label_flipping,FedStrategist,a,0.7062999999999999,44
0.5,fltrust_aligned,FedStrategist,a,0.8859999999999999,45
0.5,trim_attack,FedStrategist,a,0.8733999999999998,45
0.5,krum_collusion,FedStrategist,a,0.8865999999999999,45
0.5,low_mag_backdoor,FedStrategist,a,0.8413999999999999,45
0.5,sign_flipping,FedStrategist,a,0.8311999999999999,45
0.5,gaussian_noise,FedStrategist,a,0.7082999999999999,45
0.5,label_flipping,FedStrategist,a,0.8793000000000001,45
0.1,fltrust_aligned,FedStrategist,a,0.7506999999999999,45
0.1,trim_attack,FedStrategist,a,0.4567,45
0.1,krum_collusion,FedStrategist,a,0.6324000000000002,45
0.1,low_mag_backdoor,FedStrategist,a,0.8492,45
0.1,sign_flipping,FedStrategist,a,0.615,45
0.1,gaussian_noise,FedStrategist,a,0.6503,45
0.1,label_flipping,FedStrategist,a,0.7441,45
0.05,fltrust_aligned,FedStrategist,a,0.7478,45
0.05,trim_attack,FedStrategist,a,0.6019,45
0.05,krum_collusion,FedStrategist,a,0.6534,45
0.05,low_mag_backdoor,FedStrategist,a,0.7261,45
0.05,sign_flipping,FedStrategist,a,0.5535,45
0.05,gaussian_noise,FedStrategist,a,0.4378999999999999,45
0.05,label_flipping,FedStrategist,a,0.6781,45
0.5,fltrust_aligned,FedStrategist,a,0.8846,46
0.5,trim_attack,FedStrategist,a,0.8606,46
0.5,krum_collusion,FedStrategist,a,0.8880000000000001,46
0.5,low_mag_backdoor,FedStrategist,a,0.8405999999999999,46
0.5,sign_flipping,FedStrategist,a,0.8055,46
0.5,gaussian_noise,FedStrategist,a,0.79,46
0.5,label_flipping,FedStrategist,a,0.8835999999999998,46
0.1,fltrust_aligned,FedStrategist,a,0.7801000000000001,46
0.1,trim_attack,FedStrategist,a,0.4504,46
0.1,krum_collusion,FedStrategist,a,0.649,46
0.1,low_mag_backdoor,FedStrategist,a,0.8552,46
0.1,sign_flipping,FedStrategist,a,0.6191000000000001,46
0.1,gaussian_noise,FedStrategist,a,0.6292000000000001,46
0.1,label_flipping,FedStrategist,a,0.7321,46
0.05,fltrust_aligned,FedStrategist,a,0.7551,46
0.05,trim_attack,FedStrategist,a,0.6088,46
0.05,krum_collusion,FedStrategist,a,0.6799999999999999,46
0.05,low_mag_backdoor,FedStrategist,a,0.8530999999999999,46
0.05,sign_flipping,FedStrategist,a,0.5484000000000001,46
0.05,gaussian_noise,FedStrategist,a,0.5499,46
0.05,label_flipping,FedStrategist,a,0.6826999999999999,46
0.5,fltrust_aligned,FedStrategist,a,0.8837999999999999,47
0.5,trim_attack,FedStrategist,a,0.8579999999999999,47
0.5,krum_collusion,FedStrategist,a,0.8189,47
0.5,low_mag_backdoor,FedStrategist,a,0.843,47
0.5,sign_flipping,FedStrategist,a,0.8070999999999999,47
0.5,gaussian_noise,FedStrategist,a,0.8051,47
0.5,label_flipping,FedStrategist,a,0.884,47
0.1,fltrust_aligned,FedStrategist,a,0.7823,47
0.1,trim_attack,FedStrategist,a,0.6186,47
0.1,krum_collusion,FedStrategist,a,0.613,47
0.1,low_mag_backdoor,FedStrategist,a,0.8529,47
0.1,sign_flipping,FedStrategist,a,0.6063999999999999,47
0.1,gaussian_noise,FedStrategist,a,0.7329,47
0.1,label_flipping,FedStrategist,a,0.7933,47
0.05,fltrust_aligned,FedStrategist,a,0.7306999999999999,47
0.05,trim_attack,FedStrategist,a,0.6106999999999999,47
0.05,krum_collusion,FedStrategist,a,0.62,47
0.05,low_mag_backdoor,FedStrategist,a,0.8337,47
0.05,sign_flipping,FedStrategist,a,0.5494,47
0.05,gaussian_noise,FedStrategist,a,0.488,47
0.05,label_flipping,FedStrategist,a,0.4451999999999999,47
0.5,fltrust_aligned,FedStrategist,a,0.8856999999999999,48
0.5,trim_attack,FedStrategist,a,0.8549999999999999,48
0.5,krum_collusion,FedStrategist,a,0.8153,48
0.5,low_mag_backdoor,FedStrategist,a,0.8887,48
0.5,sign_flipping,FedStrategist,a,0.8005000000000001,48
0.5,gaussian_noise,FedStrategist,a,0.8005000000000001,48
0.5,label_flipping,FedStrategist,a,0.8785000000000001,48
0.1,fltrust_aligned,FedStrategist,a,0.7566,48
0.1,trim_attack,FedStrategist,a,0.4496999999999999,48
0.1,krum_collusion,FedStrategist,a,0.6403999999999999,48
0.1,low_mag_backdoor,FedStrategist,a,0.8517999999999999,48
0.1,sign_flipping,FedStrategist,a,0.6232,48
0.1,gaussian_noise,FedStrategist,a,0.6728000000000001,48
0.1,label_flipping,FedStrategist,a,0.7304999999999999,48
0.05,fltrust_aligned,FedStrategist,a,0.7519,48
0.05,trim_attack,FedStrategist,a,0.6098,48
0.05,krum_collusion,FedStrategist,a,0.6910000000000001,48
0.05,low_mag_backdoor,FedStrategist,a,0.8578999999999999,48
0.05,sign_flipping,FedStrategist,a,0.5328999999999999,48
0.05,gaussian_noise,FedStrategist,a,0.584,48
