alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,FedStrategist,0.74637,0.009736534861597902,0.7394049025465318,0.7533350974534682,10.0
0.05,gaussian_noise,FedStrategist,0.51083,0.05979258686864491,0.468056960057664,0.5536030399423361,10.0
0.05,krum_collusion,FedStrategist,0.67337,0.021199478505116335,0.6582048066483884,0.6885351933516116,10.0
0.05,label_flipping,FedStrategist,0.66201,0.07831668546499032,0.6059856181998868,0.7180343818001131,10.0
0.05,low_mag_backdoor,FedStrategist,0.7748999999999999,0.06108718723631362,0.73120085874418,0.8185991412558199,10.0
0.05,sign_flipping,FedStrategist,0.53831,0.01803616428795832,0.5254077053193875,0.5512122946806124,10.0
0.05,trim_attack,FedStrategist,0.5818099999999999,0.07572684024395401,0.5276382818641502,0.6359817181358497,10.0
0.1,fltrust_aligned,FedStrategist,0.76303,0.017997657254950377,0.7501552515913782,0.7759047484086218,10.0
0.1,gaussian_noise,FedStrategist,0.64665,0.04295680647141062,0.615920551832231,0.6773794481677688,10.0
0.1,krum_collusion,FedStrategist,0.6319300000000001,0.01790636447995208,0.6191205585084386,0.6447394414915616,10.0
0.1,label_flipping,FedStrategist,0.74849,0.023485241228387577,0.731689670498886,0.765290329501114,10.0
0.1,low_mag_backdoor,FedStrategist,0.84826,0.01442930659764666,0.8379378958770054,0.8585821041229946,10.0
0.1,sign_flipping,FedStrategist,0.61103,0.006777093772407169,0.6061819591674977,0.6158780408325022,10.0
0.1,trim_attack,FedStrategist,0.47436,0.05106736727108616,0.4378286061528882,0.5108913938471118,10.0
0.5,fltrust_aligned,FedStrategist,0.88538,0.002091676626802319,0.8838837046799595,0.8868762953200404,10.0
0.5,gaussian_noise,FedStrategist,0.7884,0.0315009700027017,0.7658655635637925,0.8109344364362074,10.0
0.5,krum_collusion,FedStrategist,0.8609199999999999,0.028863464025573164,0.8402723216790703,0.8815676783209295,10.0
0.5,label_flipping,FedStrategist,0.8793700000000001,0.002975100371789513,0.8772417414030845,0.8814982585969157,10.0
0.5,low_mag_backdoor,FedStrategist,0.8578899999999999,0.026445518418901234,0.8389720157670645,0.8768079842329354,10.0
0.5,sign_flipping,FedStrategist,0.8066500000000001,0.00888172280585245,0.8002963982539164,0.8130036017460838,10.0
0.5,trim_attack,FedStrategist,0.8622599999999998,0.006752810114644455,0.8574293306497803,0.8670906693502193,10.0
