alpha,attack_type,system,variant,accuracy,seed
0.5,fltrust_aligned,Random,,0.8845000000000001,42
0.5,fltrust_aligned,Oracle (decoupled),,0.8904,42
0.5,fltrust_aligned,GRADF,shared (own),0.8886000000000001,42
0.5,fltrust_aligned,FedStrategist,b,0.8887999999999998,42
0.5,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.893,42
0.5,trim_attack,Random,,0.828,42
0.5,trim_attack,Oracle (decoupled),,0.8526,42
0.5,trim_attack,GRADF,shared (own),0.742,42
0.5,trim_attack,FedStrategist,b,0.8587,42
0.5,trim_attack,AdaAggRL,own (gradient-inversion),0.8963000000000001,42
0.5,krum_collusion,Random,,0.8841000000000001,42
0.5,krum_collusion,Oracle (decoupled),,0.8893000000000001,42
0.5,krum_collusion,GRADF,shared (own),0.8747999999999999,42
0.5,krum_collusion,FedStrategist,b,0.8685,42
0.5,krum_collusion,AdaAggRL,own (gradient-inversion),0.8961,42
0.5,low_mag_backdoor,Random,,0.8983000000000001,42
0.5,low_mag_backdoor,Oracle (decoupled),,0.9044,42
0.5,low_mag_backdoor,GRADF,shared (own),0.8985999999999998,42
0.5,low_mag_backdoor,FedStrategist,b,0.8421,42
0.5,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.8968999999999999,42
0.5,sign_flipping,Random,,0.8568999999999999,42
0.5,sign_flipping,Oracle (decoupled),,0.8875,42
0.5,sign_flipping,GRADF,shared (own),0.7790000000000001,42
0.5,sign_flipping,FedStrategist,b,0.828,42
0.5,sign_flipping,AdaAggRL,own (gradient-inversion),0.8923,42
0.5,gaussian_noise,Random,,0.8934,42
0.5,gaussian_noise,Oracle (decoupled),,0.8923,42
0.5,gaussian_noise,GRADF,shared (own),0.8972000000000001,42
0.5,gaussian_noise,FedStrategist,b,0.7876000000000001,42
0.5,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8967,42
0.5,label_flipping,Random,,0.8736,42
0.5,label_flipping,Oracle (decoupled),,0.8937999999999999,42
0.5,label_flipping,GRADF,shared (own),0.8759,42
0.5,label_flipping,FedStrategist,b,0.8698,42
0.5,label_flipping,AdaAggRL,own (gradient-inversion),0.7853,42
0.1,fltrust_aligned,Random,,0.7497999999999999,42
0.1,fltrust_aligned,Oracle (decoupled),,0.7821,42
0.1,fltrust_aligned,GRADF,shared (own),0.5793999999999999,42
0.1,fltrust_aligned,FedStrategist,b,0.7515000000000001,42
0.1,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.7932,42
0.1,trim_attack,Random,,0.6426999999999999,42
0.1,trim_attack,Oracle (decoupled),,0.5088,42
0.1,trim_attack,GRADF,shared (own),0.5056999999999999,42
0.1,trim_attack,FedStrategist,b,0.4888,42
0.1,trim_attack,AdaAggRL,own (gradient-inversion),0.8346,42
0.1,krum_collusion,Random,,0.6533,42
0.1,krum_collusion,Oracle (decoupled),,0.7262,42
0.1,krum_collusion,GRADF,shared (own),0.4654,42
0.1,krum_collusion,FedStrategist,b,0.6406,42
0.1,krum_collusion,AdaAggRL,own (gradient-inversion),0.8436999999999999,42
0.1,low_mag_backdoor,Random,,0.8708,42
0.1,low_mag_backdoor,Oracle (decoupled),,0.857,42
