alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,AdaAggRL,0.65358,0.11711195782953455,0.5698031521948972,0.7373568478051029,10.0
0.05,fltrust_aligned,FedStrategist,0.7512199999999999,0.010304238610073702,0.7438487917495141,0.7585912082504856,10.0
0.05,fltrust_aligned,GRADF,0.75084,0.05039030330000672,0.7147929485403838,0.7868870514596161,10.0
0.05,fltrust_aligned,Oracle (decoupled),0.7684700000000001,0.0037582649661187656,0.7657814992020194,0.7711585007979808,10.0
0.05,fltrust_aligned,Random,0.74816,0.027314473167982654,0.7286204029863332,0.7676995970136669,10.0
0.05,gaussian_noise,AdaAggRL,0.8032,0.002956349099818884,0.8010851552549845,0.8053148447450156,10.0
0.05,gaussian_noise,FedStrategist,0.52521,0.055638704553974364,0.4854084684580529,0.5650115315419469,10.0
0.05,gaussian_noise,GRADF,0.63839,0.1927168242093392,0.5005286889051146,0.7762513110948854,10.0
0.05,gaussian_noise,Oracle (decoupled),0.76264,0.005200042734867119,0.7589201135182702,0.7663598864817298,10.0
0.05,gaussian_noise,Random,0.73461,0.025628692687862345,0.7162763376947378,0.7529436623052622,10.0
0.05,krum_collusion,AdaAggRL,0.8039200000000001,0.0026486055031112047,0.8020253017621576,0.8058146982378426,10.0
0.05,krum_collusion,FedStrategist,0.6291900000000001,0.09711050349415812,0.5597213306831658,0.6986586693168345,10.0
0.05,krum_collusion,GRADF,0.5800799999999999,0.11771219893357603,0.4958737655758736,0.6642862344241263,10.0
0.05,krum_collusion,Oracle (decoupled),0.70402,0.0044424217619572215,0.7008420829133495,0.7071979170866505,10.0
0.05,krum_collusion,Random,0.61708,0.03545362542188819,0.5917180042127551,0.6424419957872448,10.0
0.05,label_flipping,AdaAggRL,0.62105,0.12102515119685751,0.5344738222951841,0.7076261777048158,10.0
0.05,label_flipping,FedStrategist,0.5908100000000001,0.13461574491038478,0.49451169722597094,0.6871083027740291,10.0
0.05,label_flipping,GRADF,0.57989,0.20230059290295938,0.435172873784908,0.724607126215092,10.0
0.05,label_flipping,Oracle (decoupled),0.66334,0.004792865067530599,0.6599113908745565,0.6667686091254436,10.0
0.05,label_flipping,Random,0.6612100000000001,0.019722995602989814,0.6471010188889723,0.6753189811110278,10.0
0.05,low_mag_backdoor,AdaAggRL,0.7582200000000001,0.07420749887234367,0.7051351532068587,0.8113048467931415,10.0
0.05,low_mag_backdoor,FedStrategist,0.73458,0.043845405181792495,0.7032148866081228,0.7659451133918772,10.0
