system,mean_diff,p_value,cohens_d,n,attack_type
AdaAggRL,-0.13422333333333336,2.7197505337695362e-05,-2.465249006372536,10,fltrust_aligned
FedStrategist,-0.09046000000000004,1.4812488912921321e-08,-5.9827606814823815,10,fltrust_aligned
GRADF,-0.11461666666666667,3.787388565351302e-06,-3.1407584657944336,10,fltrust_aligned
Oracle (decoupled),-0.08588000000000003,1.2183631695842164e-16,-47.86786306731924,10,fltrust_aligned
Random,-0.09586333333333336,1.4033158143241196e-06,-3.5355682476156494,10,fltrust_aligned
AdaAggRL,0.03329333333333333,2.0694728218495905e-10,9.682869785627856,10,gaussian_noise
FedStrategist,-0.1658233333333333,3.3457014579824184e-09,-7.080854490484395,10,gaussian_noise
GRADF,-0.08279999999999997,0.011491473711593255,-1.0002823336379378,10,gaussian_noise
Oracle (decoupled),0.0017566666666666952,0.0454050484493126,0.7339916714257657,10,gaussian_noise
Random,-0.010536666666666649,0.042959470950285926,-0.7446819309804827,10,gaussian_noise
AdaAggRL,0.12859999999999996,1.1843673917825917e-10,10.307544326730213,10,krum_collusion
FedStrategist,-0.0019300000000000207,0.8823828423489831,-0.04813139066450898,10,krum_collusion
GRADF,-0.017856666666666722,0.4744397761212409,-0.2360493840024328,10,krum_collusion
Oracle (decoupled),0.057043333333333245,2.2893997350495233e-07,4.37113372280198,10,krum_collusion
Random,-0.005336666666666689,0.6075694666831418,-0.16825074385063768,10,krum_collusion
AdaAggRL,-0.07379000000000002,0.06859012016071445,-0.6539469149451579,10,label_flipping
FedStrategist,0.018646666666666645,0.23855460242680743,0.3991867246221911,10,label_flipping
GRADF,-0.03743999999999999,0.2058533832106678,-0.4311776078302397,10,label_flipping
Oracle (decoupled),0.05414000000000001,6.509506192918869e-07,3.87021128177513,10,label_flipping
Random,0.03761666666666667,0.00020382859814338758,1.8956799693039217,10,label_flipping
AdaAggRL,-0.019076666666666676,0.12011591233078148,-0.5429513211414779,10,low_mag_backdoor
FedStrategist,-0.014140000000000008,0.062064733471214655,-0.6734295255688061,10,low_mag_backdoor
GRADF,-0.02398666666666669,0.4085295798344253,-0.27412843699700146,10,low_mag_backdoor
Oracle (decoupled),0.03760333333333332,1.6458607362216808e-11,12.852285965301723,10,low_mag_backdoor
Random,0.03153999999999998,6.298890186312717e-07,3.885149671598582,10,low_mag_backdoor
AdaAggRL,0.08480333333333331,1.2860445571198451e-05,2.706414337712977,10,sign_flipping
FedStrategist,-0.05308333333333333,3.1679896503882667e-06,-3.2088306278116665,10,sign_flipping
GRADF,-0.020079999999999987,0.3588070924530041,-0.3057935591708844,10,sign_flipping
Oracle (decoupled),0.03269999999999999,0.00015352420368917508,1.9696350976991717,10,sign_flipping
Random,-0.03360333333333336,0.032655080917682204,-0.7975630850149952,10,sign_flipping
AdaAggRL,0.12178000000000004,1.3514349932452955e-09,7.842851362128406,10,trim_attack
FedStrategist,-0.06928999999999999,1.344483163314026e-07,-4.648475937884239,10,trim_attack
GRADF,-0.07028999999999999,0.04043145662772914,-0.7563842419167675,10,trim_attack
Oracle (decoupled),-0.08287333333333333,3.713858539782159e-06,-3.148171196521636,10,trim_attack
Random,0.006373333333333353,0.6413703775225684,0.15239425942309273,10,trim_attack
