system,mean_diff,p_value,cohens_d,n,attack_type
AdaAggRL,-0.03836000000000002,0.06855919959303908,-0.654034946963354,10,fltrust_aligned
FedStrategist,0.0054033333333333156,0.5066467066244965,0.2186972403706783,10,fltrust_aligned
GRADF,-0.018753333333333344,0.21137085349568033,-0.42549290542209817,10,fltrust_aligned
Oracle (decoupled),0.009983333333333334,0.2827479796781417,0.3612745749130672,10,fltrust_aligned
AdaAggRL,0.04382999999999998,2.9287178293677764e-06,3.2391624595487984,10,gaussian_noise
FedStrategist,-0.15528666666666666,1.1736403397822994e-08,-6.143046541553424,10,gaussian_noise
GRADF,-0.07226333333333332,0.030135728325049124,-0.8130381230494504,10,gaussian_noise
Oracle (decoupled),0.012293333333333345,0.016928307508359025,0.9245700242362073,10,gaussian_noise
AdaAggRL,0.13393666666666668,6.482529420870005e-08,5.055163108692242,10,krum_collusion
FedStrategist,0.003406666666666669,0.8217032482162975,0.07337493382357571,10,krum_collusion
GRADF,-0.012520000000000031,0.6920133127202756,-0.12937641208986533,10,krum_collusion
Oracle (decoupled),0.062379999999999936,3.9891105797896493e-05,2.34852616059211,10,krum_collusion
AdaAggRL,-0.1114066666666667,0.011472430732660962,-1.000608476271807,10,label_flipping
FedStrategist,-0.018970000000000032,0.2662824106248657,-0.37479818015863314,10,label_flipping
GRADF,-0.07505666666666666,0.026118187287185464,-0.8406303054099111,10,label_flipping
Oracle (decoupled),0.016523333333333334,0.0011366417169954455,1.4829947465321445,10,label_flipping
AdaAggRL,-0.05061666666666666,0.0013279416586946175,-1.4483024360935612,10,low_mag_backdoor
FedStrategist,-0.045679999999999985,0.00048059138436596266,-1.6825276904912838,10,low_mag_backdoor
GRADF,-0.05552666666666667,0.07603351331405556,-0.6337904061354772,10,low_mag_backdoor
Oracle (decoupled),0.0060633333333333424,0.047350878016442895,0.7258838454967436,10,low_mag_backdoor
AdaAggRL,0.11840666666666669,6.677654209419107e-07,3.8586634905427126,10,sign_flipping
FedStrategist,-0.019479999999999963,0.16627423297253524,-0.4763100998144996,10,sign_flipping
GRADF,0.013523333333333377,0.3977680488595169,0.28073788870308186,10,sign_flipping
Oracle (decoupled),0.06630333333333335,8.657542228852285e-05,2.1249536470937653,10,sign_flipping
AdaAggRL,0.1154066666666667,1.1745139524890797e-06,3.6107327628382353,10,trim_attack
FedStrategist,-0.07566333333333335,0.00017954030529399495,-1.928559690736198,10,trim_attack
GRADF,-0.07666333333333335,0.034579680558191175,-0.7865263245295171,10,trim_attack
Oracle (decoupled),-0.08924666666666668,2.1998029139190157e-05,-2.5317855984938826,10,trim_attack
