alpha,attack_type,system,accuracy,seed
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8891,42
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8647,42
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8849,42
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8392999999999999,42
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8296000000000001,42
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7888,42
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8699999999999999,42
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7462,42
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4861999999999999,42
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6432,42
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8526999999999999,42
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6060999999999999,42
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6623999999999999,42
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7329000000000001,42
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7565,42
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6060999999999999,42
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.5856999999999999,42
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7175,42
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5498000000000001,42
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5488999999999999,42
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4213999999999999,42
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8865000000000001,43
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8734,43
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8848,43
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8407,43
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8277999999999999,43
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7947000000000001,43
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8741,43
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7943000000000001,43
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4895,43
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6403,43
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8534,43
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6087,43
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6065,43
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7436999999999999,43
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7373000000000001,43
0.05,trim_attack,Discrete+AdaAggRL-detector,0.607,43
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6689,43
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7217,43
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5494000000000001,43
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5701,43
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4372,43
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8882999999999999,44
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8419000000000001,44
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8880000000000001,44
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8389999999999999,44
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8289,44
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.6618,44
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8805999999999999,44
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7861,44
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4707999999999999,44
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6476,44
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8523,44
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6106999999999999,44
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6804,44
