attack_type,baseline,mean_diff,p_value,cohens_d,n
fltrust_aligned,Random,0.005123333333333346,0.5179761498554778,0.2127572081308696,10
fltrust_aligned,BestFixedRule,-0.09074000000000002,4.1282977346041933e-10,-8.96120353050327,10
gaussian_noise,Random,-0.14917666666666668,1.3604788417990937e-08,-6.040854729614501,10
gaussian_noise,BestFixedRule,-0.15971333333333332,1.6297966167932327e-09,-7.679160706360224,10
krum_collusion,Random,0.005330000000000013,0.7458822871932668,0.10568429221421682,10
krum_collusion,BestFixedRule,-6.666666666677034e-06,0.9995958780681133,-0.00016466892438581204,10
label_flipping,Random,-0.018230000000000014,0.2532366685623108,-0.3860004648349516,10
label_flipping,BestFixedRule,0.019386666666666663,0.24221502747385962,0.3958380110301989,10
low_mag_backdoor,Random,-0.04870000000000001,5.843861021880506e-06,-2.980499095537523,10
low_mag_backdoor,BestFixedRule,-0.01716000000000003,0.0009332942428778181,-1.5275287411973255,10
sign_flipping,Random,-0.01759666666666665,0.20625331893748755,-0.4307612226203128,10
sign_flipping,BestFixedRule,-0.05120000000000001,2.2975217078630572e-06,-3.334476202013858,10
trim_attack,Random,-0.07994333333333337,0.0004382727566655344,-1.704708520654879,10
trim_attack,BestFixedRule,-0.07357000000000001,2.4502255580549414e-05,-2.4978048705522156,10
