attack_type,baseline,mean_diff,p_value,cohens_d,n
fltrust_aligned,Random,0.006953333333333367,0.41880254428041813,0.2679316351865339,10
fltrust_aligned,BestFixedRule,-0.08890999999999999,4.625266793651778e-09,-6.826431428164402,10
gaussian_noise,Random,-0.15089666666666662,3.997170190921241e-09,-6.9399744613059005,10
gaussian_noise,BestFixedRule,-0.16143333333333332,8.187205601227866e-10,-8.2977864856307,10
krum_collusion,Random,0.013303333333333323,0.3076482104137233,0.3419642910633372,10
krum_collusion,BestFixedRule,0.007966666666666632,0.42547590767207755,0.2639622878014688,10
label_flipping,Random,-0.04311333333333337,0.019335710902528832,-0.8987617819529449,10
label_flipping,BestFixedRule,-0.005496666666666694,0.7339273219799846,-0.11088137022407993,10
low_mag_backdoor,Random,-0.04662000000000005,8.583517497556616e-05,-2.1273440001870725,10
low_mag_backdoor,BestFixedRule,-0.01508000000000007,0.012433886245313783,-0.9848039119048357,10
sign_flipping,Random,-0.019053333333333276,0.17112483194291378,-0.4703046724925751,10
sign_flipping,BestFixedRule,-0.05265666666666664,1.672673021043935e-06,-3.462766941164884,10
trim_attack,Random,-0.07685666666666668,0.0005146937132637769,-1.6661383137906556,10
trim_attack,BestFixedRule,-0.07048333333333333,8.589369784249561e-05,-2.1271542044290888,10
