alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,BestFixedRule,0.89598,0.0004939635614091343,0.8956266397550481,0.8963333602449519,10.0
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.74958,0.010745004007030932,0.741893487178888,0.757266512821112,10.0
0.05,fltrust_aligned,Random,0.74816,0.027314473167982654,0.7286204029863332,0.7676995970136669,10.0
0.05,gaussian_noise,BestFixedRule,0.73821,0.0036622549216447546,0.7355901806503764,0.7408298193496237,10.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.53081,0.054341644558601014,0.4919363292832016,0.5696836707167985,10.0
0.05,gaussian_noise,Random,0.73461,0.025628692687862345,0.7162763376947378,0.7529436623052622,10.0
0.05,krum_collusion,BestFixedRule,0.6399,0.026775403306434454,0.6207460303345924,0.6590539696654076,10.0
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6451199999999999,0.07487622082106203,0.5915567783426687,0.6986832216573311,10.0
0.05,krum_collusion,Random,0.61708,0.03545362542188819,0.5917180042127551,0.6424419957872448,10.0
0.05,label_flipping,BestFixedRule,0.63995,0.03608721688108164,0.6141347601868571,0.665765239813143,10.0
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.5168899999999998,0.1310214948438275,0.423162868832868,0.6106171311671317,10.0
0.05,label_flipping,Random,0.6612100000000001,0.019722995602989814,0.6471010188889723,0.6753189811110278,10.0
0.05,low_mag_backdoor,BestFixedRule,0.76468,0.0005808040403899963,0.7642645178186914,0.7650954821813086,10.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.73225,0.04447389371555205,0.7004352929951745,0.7640647070048254,10.0
0.05,low_mag_backdoor,Random,0.83733,0.01580780749432944,0.8260217757406766,0.8486382242593234,10.0
0.05,sign_flipping,BestFixedRule,0.6482699999999999,0.028793326773172083,0.6276724948469412,0.6688675051530586,10.0
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.55149,0.003057758801620703,0.5493026111244681,0.553677388875532,10.0
0.05,sign_flipping,Random,0.57693,0.025635654424605154,0.5585913575682814,0.5952686424317187,10.0
0.05,trim_attack,BestFixedRule,0.6490400000000001,0.026935404210815223,0.629771572582682,0.6683084274173181,10.0
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.58473,0.07352958663770055,0.5321301024055526,0.6373298975944474,10.0
0.05,trim_attack,Random,0.6689900000000001,0.05386764541190028,0.6304554078462182,0.7075245921537819,10.0
0.1,fltrust_aligned,BestFixedRule,0.89445,0.0002798809270624665,0.8942497852459763,0.8946502147540236,10.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7861100000000001,0.04191749700966836,0.7561240290331291,0.816095970966871,10.0
0.1,fltrust_aligned,Random,0.77032,0.07537476441827937,0.7164001417374719,0.8242398582625281,10.0
0.1,gaussian_noise,BestFixedRule,0.8051900000000002,0.004350849214680844,0.8020775899674412,0.8083024100325592,10.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.64428,0.02509461208218919,0.6263283959443511,0.6622316040556488,10.0
0.1,gaussian_noise,Random,0.7824399999999999,0.019034775193489048,0.7688233421117384,0.7960566578882614,10.0
0.1,krum_collusion,BestFixedRule,0.62514,0.02742679954594295,0.6055200495361367,0.6447599504638634,10.0
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.64345,0.006497905645496713,0.6388016783221481,0.6480983216778519,10.0
0.1,krum_collusion,Random,0.63878,0.05909026616588858,0.5965093700225869,0.6810506299774132,10.0
0.1,label_flipping,BestFixedRule,0.62377,0.026378444482822238,0.6048999975704494,0.6426400024295507,10.0
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.73909,0.0038434504174128647,0.7363405612011479,0.7418394387988522,10.0
0.1,label_flipping,Random,0.7339,0.018975422700605853,0.7203258003274091,0.7474741996725909,10.0
0.1,low_mag_backdoor,BestFixedRule,0.8310599999999999,0.0004501851470969631,0.8307379569460587,0.8313820430539411,10.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8527499999999998,0.0020641113234405313,0.8512734237100843,0.8542265762899153,10.0
0.1,low_mag_backdoor,Random,0.8564499999999999,0.021235674910133857,0.8412589133000877,0.8716410866999121,10.0
0.1,sign_flipping,BestFixedRule,0.6227699999999999,0.03502665810176267,0.5977134382338307,0.6478265617661692,10.0
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.62,0.026903572666510722,0.6007543434977279,0.639245656502272,10.0
0.1,sign_flipping,Random,0.6264900000000001,0.07413837587766392,0.5734546008184643,0.6795253991815359,10.0
0.1,trim_attack,BestFixedRule,0.62287,0.02738815843064704,0.603277691724818,0.642462308275182,10.0
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4807,0.028119111729292712,0.46058479923468976,0.5008152007653103,10.0
0.1,trim_attack,Random,0.64137,0.07255889638386495,0.5894644923821923,0.6932755076178077,10.0
0.5,fltrust_aligned,BestFixedRule,0.89978,0.00019321835661591835,0.8996417799142346,0.8999182200857655,10.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8877900000000001,0.0017872697986967133,0.8865114642066696,0.8890685357933306,10.0
0.5,fltrust_aligned,Random,0.88414,0.0044199547508995815,0.8809781548448662,0.8873018451551339,10.0
0.5,gaussian_noise,BestFixedRule,0.89474,0.0008369255907453379,0.8941412994988768,0.8953387005011232,10.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.7787499999999998,0.04487791463762794,0.7466462738384108,0.8108537261615889,10.0
0.5,gaussian_noise,Random,0.88948,0.007233072191906677,0.8843057718561352,0.8946542281438649,10.0
0.5,krum_collusion,BestFixedRule,0.88238,0.013587641443606054,0.8726599868574633,0.8921000131425368,10.0
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.88275,0.0067646548733513055,0.8779108574198401,0.88758914258016,10.0
0.5,krum_collusion,Random,0.8755499999999999,0.008928512380757163,0.8691629270083807,0.8819370729916192,10.0
