alpha,attack_type,best_fixed_rule_accuracy,discrete_adaaggrl_detector_accuracy,random_accuracy,best_fixed_rule
0.05,fltrust_aligned,0.89598,0.7495499999999999,0.74816,krum
0.05,gaussian_noise,0.73821,0.5344,0.73461,trimmed_mean
0.05,krum_collusion,0.6399,0.62192,0.61708,fltrust
0.05,label_flipping,0.63995,0.59073,0.6612100000000001,fltrust
0.05,low_mag_backdoor,0.76468,0.71897,0.83733,trimmed_mean
0.05,sign_flipping,0.6482699999999999,0.5519900000000001,0.57693,fltrust
0.05,trim_attack,0.6490400000000001,0.57908,0.6689900000000001,fltrust
0.1,fltrust_aligned,0.89445,0.7811100000000001,0.77032,krum
0.1,gaussian_noise,0.8051900000000002,0.6435299999999999,0.7824399999999999,trimmed_mean
0.1,krum_collusion,0.62514,0.64166,0.63878,fltrust
0.1,label_flipping,0.62377,0.74018,0.7339,fltrust
0.1,low_mag_backdoor,0.8310599999999999,0.8530899999999999,0.8564499999999999,trimmed_mean
0.1,sign_flipping,0.6227699999999999,0.62117,0.6264900000000001,fltrust
0.1,trim_attack,0.62287,0.47747,0.64137,fltrust
0.5,fltrust_aligned,0.89978,0.8873299999999998,0.88414,median
0.5,gaussian_noise,0.89474,0.7810699999999999,0.88948,trimmed_mean
0.5,krum_collusion,0.88238,0.88382,0.8755499999999999,krum
0.5,label_flipping,0.88595,0.8769199999999999,0.8674099999999999,trimmed_mean
0.5,low_mag_backdoor,0.8985899999999999,0.8707899999999998,0.8951699999999999,trimmed_mean
0.5,sign_flipping,0.8844100000000001,0.8286899999999999,0.85122,krum
0.5,trim_attack,0.86913,0.86378,0.8497999999999999,trimmed_mean
