alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,FedStrategist,0.735,0.0,0.735,0.735,1.0
0.05,gaussian_noise,FedStrategist,0.49990000000000007,0.0,0.49990000000000007,0.49990000000000007,1.0
0.05,krum_collusion,FedStrategist,0.6834,0.0,0.6834,0.6834,1.0
0.05,label_flipping,FedStrategist,0.6712,0.0,0.6712,0.6712,1.0
0.05,low_mag_backdoor,FedStrategist,0.8360999999999998,0.0,0.8360999999999998,0.8360999999999998,1.0
0.05,sign_flipping,FedStrategist,0.49860000000000004,0.0,0.49860000000000004,0.49860000000000004,1.0
0.05,trim_attack,FedStrategist,0.6014999999999999,0.0,0.6014999999999999,0.6014999999999999,1.0
0.1,fltrust_aligned,FedStrategist,0.7972,0.0,0.7972,0.7972,1.0
0.1,gaussian_noise,FedStrategist,0.6081999999999999,0.0,0.6081999999999999,0.6081999999999999,1.0
0.1,krum_collusion,FedStrategist,0.6468,0.0,0.6468,0.6468,1.0
0.1,label_flipping,FedStrategist,0.7436,0.0,0.7436,0.7436,1.0
0.1,low_mag_backdoor,FedStrategist,0.8539,0.0,0.8539,0.8539,1.0
0.1,sign_flipping,FedStrategist,0.6051,0.0,0.6051,0.6051,1.0
0.1,trim_attack,FedStrategist,0.4678000000000001,0.0,0.4678000000000001,0.4678000000000001,1.0
0.5,fltrust_aligned,FedStrategist,0.8823000000000001,0.0,0.8823000000000001,0.8823000000000001,1.0
0.5,gaussian_noise,FedStrategist,0.8070999999999999,0.0,0.8070999999999999,0.8070999999999999,1.0
0.5,krum_collusion,FedStrategist,0.8772,0.0,0.8772,0.8772,1.0
0.5,label_flipping,FedStrategist,0.8763,0.0,0.8763,0.8763,1.0
0.5,low_mag_backdoor,FedStrategist,0.9027000000000001,0.0,0.9027000000000001,0.9027000000000001,1.0
0.5,sign_flipping,FedStrategist,0.8055999999999999,0.0,0.8055999999999999,0.8055999999999999,1.0
0.5,trim_attack,FedStrategist,0.8751,0.0,0.8751,0.8751,1.0
