alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,FedStrategist,0.7519,0.0,0.7519,0.7519,1.0,krum,0.89598
0.05,gaussian_noise,FedStrategist,0.584,0.0,0.584,0.584,1.0,trimmed_mean,0.73821
0.05,krum_collusion,FedStrategist,0.6910000000000001,0.0,0.6910000000000001,0.6910000000000001,1.0,fltrust,0.6399
0.05,label_flipping,FedStrategist,0.7023999999999999,0.0,0.7023999999999999,0.7023999999999999,1.0,fltrust,0.63995
0.05,low_mag_backdoor,FedStrategist,0.8578999999999999,0.0,0.8578999999999999,0.8578999999999999,1.0,trimmed_mean,0.76468
0.05,sign_flipping,FedStrategist,0.5328999999999999,0.0,0.5328999999999999,0.5328999999999999,1.0,fltrust,0.6482699999999999
0.05,trim_attack,FedStrategist,0.6098,0.0,0.6098,0.6098,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,FedStrategist,0.7566,0.0,0.7566,0.7566,1.0,krum,0.89445
0.1,gaussian_noise,FedStrategist,0.6728000000000001,0.0,0.6728000000000001,0.6728000000000001,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,FedStrategist,0.6403999999999999,0.0,0.6403999999999999,0.6403999999999999,1.0,fltrust,0.62514
0.1,label_flipping,FedStrategist,0.7304999999999999,0.0,0.7304999999999999,0.7304999999999999,1.0,fltrust,0.62377
0.1,low_mag_backdoor,FedStrategist,0.8517999999999999,0.0,0.8517999999999999,0.8517999999999999,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,FedStrategist,0.6232,0.0,0.6232,0.6232,1.0,fltrust,0.6227699999999999
0.1,trim_attack,FedStrategist,0.4496999999999999,0.0,0.4496999999999999,0.4496999999999999,1.0,fltrust,0.62287
0.5,fltrust_aligned,FedStrategist,0.8856999999999999,0.0,0.8856999999999999,0.8856999999999999,1.0,median,0.89978
0.5,gaussian_noise,FedStrategist,0.8005000000000001,0.0,0.8005000000000001,0.8005000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,FedStrategist,0.8153,0.0,0.8153,0.8153,1.0,krum,0.88238
0.5,label_flipping,FedStrategist,0.8785000000000001,0.0,0.8785000000000001,0.8785000000000001,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,FedStrategist,0.8887,0.0,0.8887,0.8887,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,FedStrategist,0.8005000000000001,0.0,0.8005000000000001,0.8005000000000001,1.0,krum,0.8844100000000001
0.5,trim_attack,FedStrategist,0.8549999999999999,0.0,0.8549999999999999,0.8549999999999999,1.0,trimmed_mean,0.86913
