alpha,attack_type,system,variant,accuracy,seed
0.5,fltrust_aligned,FedStrategist,a,0.8834,49
0.5,trim_attack,FedStrategist,a,0.8637,49
0.5,krum_collusion,FedStrategist,a,0.8871,49
0.5,low_mag_backdoor,FedStrategist,a,0.8424999999999999,49
0.5,sign_flipping,FedStrategist,a,0.8039,49
0.5,gaussian_noise,FedStrategist,a,0.8014000000000001,49
0.5,label_flipping,FedStrategist,a,0.8773,49
0.1,fltrust_aligned,FedStrategist,a,0.7506999999999999,49
0.1,trim_attack,FedStrategist,a,0.4641,49
0.1,krum_collusion,FedStrategist,a,0.6224000000000001,49
0.1,low_mag_backdoor,FedStrategist,a,0.8074999999999999,49
0.1,sign_flipping,FedStrategist,a,0.6103,49
0.1,gaussian_noise,FedStrategist,a,0.6247,49
0.1,label_flipping,FedStrategist,a,0.7415,49
0.05,fltrust_aligned,FedStrategist,a,0.7603,49
0.05,trim_attack,FedStrategist,a,0.6093,49
0.05,krum_collusion,FedStrategist,a,0.6825,49
0.05,low_mag_backdoor,FedStrategist,a,0.7230000000000001,49
0.05,sign_flipping,FedStrategist,a,0.5537000000000001,49
0.05,gaussian_noise,FedStrategist,a,0.48629999999999995,49
0.05,label_flipping,FedStrategist,a,0.671,49
