alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7413,0.0,0.7413,0.7413,1.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5847,0.0,0.5847,0.5847,1.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6809000000000001,0.0,0.6809000000000001,0.6809000000000001,1.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.6704000000000001,0.0,0.6704000000000001,0.6704000000000001,1.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7197,0.0,0.7197,0.7197,1.0
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5556000000000001,0.0,0.5556000000000001,0.5556000000000001,1.0
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6077999999999999,0.0,0.6077999999999999,0.6077999999999999,1.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.789,0.0,0.789,0.789,1.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6722,0.0,0.6722,0.6722,1.0
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6465000000000001,0.0,0.6465000000000001,0.6465000000000001,1.0
0.1,label_flipping,Discrete+AdaAggRL-detector,0.741,0.0,0.741,0.741,1.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8568999999999999,0.0,0.8568999999999999,0.8568999999999999,1.0
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6161999999999999,0.0,0.6161999999999999,0.6161999999999999,1.0
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4765,0.0,0.4765,0.4765,1.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8854999999999998,0.0,0.8854999999999998,0.8854999999999998,1.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8056000000000001,0.0,0.8056000000000001,0.8056000000000001,1.0
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8697000000000001,0.0,0.8697000000000001,0.8697000000000001,1.0
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8791,0.0,0.8791,0.8791,1.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9014,0.0,0.9014,0.9014,1.0
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8288,0.0,0.8288,0.8288,1.0
0.5,trim_attack,Discrete+AdaAggRL-detector,0.851,0.0,0.851,0.851,1.0
