alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7477,0.0,0.7477,0.7477,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5425,0.0,0.5425,0.5425,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6592,0.0,0.6592,0.6592,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7047,0.0,0.7047,0.7047,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7213,0.0,0.7213,0.7213,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5495,0.0,0.5495,0.5495,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.5509999999999999,0.0,0.5509999999999999,0.5509999999999999,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7852,0.0,0.7852,0.7852,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6225,0.0,0.6225,0.6225,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6315000000000001,0.0,0.6315000000000001,0.6315000000000001,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7418,0.0,0.7418,0.7418,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8553000000000001,0.0,0.8553000000000001,0.8553000000000001,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6104,0.0,0.6104,0.6104,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4615,0.0,0.4615,0.4615,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8889000000000001,0.0,0.8889000000000001,0.8889000000000001,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7905000000000001,0.0,0.7905000000000001,0.7905000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8855999999999999,0.0,0.8855999999999999,0.8855999999999999,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8781000000000001,0.0,0.8781000000000001,0.8781000000000001,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9011000000000001,0.0,0.9011000000000001,0.9011000000000001,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8275,0.0,0.8275,0.8275,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8634999999999999,0.0,0.8634999999999999,0.8634999999999999,1.0,trimmed_mean,0.86913
