alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7510999999999999,0.0,0.7510999999999999,0.7510999999999999,1.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5822999999999999,0.0,0.5822999999999999,0.5822999999999999,1.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6778,0.0,0.6778,0.6778,1.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.43309999999999993,0.0,0.43309999999999993,0.43309999999999993,1.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7175999999999999,0.0,0.7175999999999999,0.7175999999999999,1.0
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5544,0.0,0.5544,0.5544,1.0
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6079,0.0,0.6079,0.6079,1.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7647,0.0,0.7647,0.7647,1.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.673,0.0,0.673,0.673,1.0
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6394,0.0,0.6394,0.6394,1.0
0.1,label_flipping,Discrete+AdaAggRL-detector,0.741,0.0,0.741,0.741,1.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8505,0.0,0.8505,0.8505,1.0
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6171,0.0,0.6171,0.6171,1.0
0.1,trim_attack,Discrete+AdaAggRL-detector,0.5328,0.0,0.5328,0.5328,1.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8854,0.0,0.8854,0.8854,1.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8056999999999999,0.0,0.8056999999999999,0.8056999999999999,1.0
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8703,0.0,0.8703,0.8703,1.0
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8792,0.0,0.8792,0.8792,1.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9019999999999999,0.0,0.9019999999999999,0.9019999999999999,1.0
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8265,0.0,0.8265,0.8265,1.0
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8568000000000001,0.0,0.8568000000000001,0.8568000000000001,1.0
