alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.763,0.0,0.763,0.763,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.49160000000000004,0.0,0.49160000000000004,0.49160000000000004,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6788,0.0,0.6788,0.6788,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.43479999999999996,0.0,0.43479999999999996,0.43479999999999996,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7175,0.0,0.7175,0.7175,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5557000000000001,0.0,0.5557000000000001,0.5557000000000001,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6094,0.0,0.6094,0.6094,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7798,0.0,0.7798,0.7798,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6263,0.0,0.6263,0.6263,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6456999999999999,0.0,0.6456999999999999,0.6456999999999999,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7375999999999999,0.0,0.7375999999999999,0.7375999999999999,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8536999999999999,0.0,0.8536999999999999,0.8536999999999999,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6102,0.0,0.6102,0.6102,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.46430000000000005,0.0,0.46430000000000005,0.46430000000000005,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8876000000000002,0.0,0.8876000000000002,0.8876000000000002,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8009999999999999,0.0,0.8009999999999999,0.8009999999999999,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.885,0.0,0.885,0.885,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8785999999999999,0.0,0.8785999999999999,0.8785999999999999,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8868,0.0,0.8868,0.8868,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8311999999999999,0.0,0.8311999999999999,0.8311999999999999,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8731,0.0,0.8731,0.8731,1.0,trimmed_mean,0.86913
