alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,AdaAggRL,0.7402,0.0,0.7402,0.7402,1.0
0.05,fltrust_aligned,FedStrategist,0.7451,0.0,0.7451,0.7451,1.0
0.05,fltrust_aligned,GRADF,0.6081,0.0,0.6081,0.6081,1.0
0.05,fltrust_aligned,Oracle (decoupled),0.7652,0.0,0.7652,0.7652,1.0
0.05,fltrust_aligned,Random,0.7380000000000001,0.0,0.7380000000000001,0.7380000000000001,1.0
0.05,gaussian_noise,AdaAggRL,0.8048,0.0,0.8048,0.8048,1.0
0.05,gaussian_noise,FedStrategist,0.5734,0.0,0.5734,0.5734,1.0
0.05,gaussian_noise,GRADF,0.7274999999999999,0.0,0.7274999999999999,0.7274999999999999,1.0
0.05,gaussian_noise,Oracle (decoupled),0.7694,0.0,0.7694,0.7694,1.0
0.05,gaussian_noise,Random,0.7512,0.0,0.7512,0.7512,1.0
0.05,krum_collusion,AdaAggRL,0.8015000000000001,0.0,0.8015000000000001,0.8015000000000001,1.0
0.05,krum_collusion,FedStrategist,0.6763000000000001,0.0,0.6763000000000001,0.6763000000000001,1.0
0.05,krum_collusion,GRADF,0.7043,0.0,0.7043,0.7043,1.0
0.05,krum_collusion,Oracle (decoupled),0.7047,0.0,0.7047,0.7047,1.0
0.05,krum_collusion,Random,0.5989,0.0,0.5989,0.5989,1.0
0.05,label_flipping,AdaAggRL,0.6178,0.0,0.6178,0.6178,1.0
0.05,label_flipping,FedStrategist,0.434,0.0,0.434,0.434,1.0
0.05,label_flipping,GRADF,0.6427,0.0,0.6427,0.6427,1.0
0.05,label_flipping,Oracle (decoupled),0.6655,0.0,0.6655,0.6655,1.0
0.05,label_flipping,Random,0.6688000000000001,0.0,0.6688000000000001,0.6688000000000001,1.0
0.05,low_mag_backdoor,AdaAggRL,0.6229000000000001,0.0,0.6229000000000001,0.6229000000000001,1.0
0.05,low_mag_backdoor,FedStrategist,0.7177,0.0,0.7177,0.7177,1.0
0.05,low_mag_backdoor,GRADF,0.8469,0.0,0.8469,0.8469,1.0
0.05,low_mag_backdoor,Oracle (decoupled),0.844,0.0,0.844,0.844,1.0
0.05,low_mag_backdoor,Random,0.8532,0.0,0.8532,0.8532,1.0
0.05,sign_flipping,AdaAggRL,0.7932,0.0,0.7932,0.7932,1.0
0.05,sign_flipping,FedStrategist,0.5471,0.0,0.5471,0.5471,1.0
0.05,sign_flipping,GRADF,0.6336999999999999,0.0,0.6336999999999999,0.6336999999999999,1.0
0.05,sign_flipping,Oracle (decoupled),0.6275999999999999,0.0,0.6275999999999999,0.6275999999999999,1.0
0.05,sign_flipping,Random,0.6192,0.0,0.6192,0.6192,1.0
0.05,trim_attack,AdaAggRL,0.8119,0.0,0.8119,0.8119,1.0
0.05,trim_attack,FedStrategist,0.6033000000000001,0.0,0.6033000000000001,0.6033000000000001,1.0
0.05,trim_attack,GRADF,0.5679000000000001,0.0,0.5679000000000001,0.5679000000000001,1.0
0.05,trim_attack,Oracle (decoupled),0.584,0.0,0.584,0.584,1.0
0.05,trim_attack,Random,0.6352,0.0,0.6352,0.6352,1.0
0.1,fltrust_aligned,AdaAggRL,0.7432000000000001,0.0,0.7432000000000001,0.7432000000000001,1.0
0.1,fltrust_aligned,FedStrategist,0.8631,0.0,0.8631,0.8631,1.0
