alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,AdaAggRL,0.5307999999999999,0.0,0.5307999999999999,0.5307999999999999,1.0,krum,0.89598
0.05,fltrust_aligned,FedStrategist,0.7341,0.0,0.7341,0.7341,1.0,krum,0.89598
0.05,fltrust_aligned,GRADF,0.7599,0.0,0.7599,0.7599,1.0,krum,0.89598
0.05,fltrust_aligned,Oracle (decoupled),0.7681000000000001,0.0,0.7681000000000001,0.7681000000000001,1.0,krum,0.89598
0.05,fltrust_aligned,Random,0.748,0.0,0.748,0.748,1.0,krum,0.89598
0.05,gaussian_noise,AdaAggRL,0.8033000000000001,0.0,0.8033000000000001,0.8033000000000001,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,FedStrategist,0.48630000000000007,0.0,0.48630000000000007,0.48630000000000007,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,GRADF,0.7535000000000001,0.0,0.7535000000000001,0.7535000000000001,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,Oracle (decoupled),0.7703,0.0,0.7703,0.7703,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,Random,0.7506999999999999,0.0,0.7506999999999999,0.7506999999999999,1.0,trimmed_mean,0.73821
0.05,krum_collusion,AdaAggRL,0.8039000000000002,0.0,0.8039000000000002,0.8039000000000002,1.0,fltrust,0.6399
0.05,krum_collusion,FedStrategist,0.44580000000000003,0.0,0.44580000000000003,0.44580000000000003,1.0,fltrust,0.6399
0.05,krum_collusion,GRADF,0.5748,0.0,0.5748,0.5748,1.0,fltrust,0.6399
0.05,krum_collusion,Oracle (decoupled),0.7066999999999999,0.0,0.7066999999999999,0.7066999999999999,1.0,fltrust,0.6399
0.05,krum_collusion,Random,0.6533,0.0,0.6533,0.6533,1.0,fltrust,0.6399
0.05,label_flipping,AdaAggRL,0.6849000000000001,0.0,0.6849000000000001,0.6849000000000001,1.0,fltrust,0.63995
0.05,label_flipping,FedStrategist,0.44480000000000003,0.0,0.44480000000000003,0.44480000000000003,1.0,fltrust,0.63995
0.05,label_flipping,GRADF,0.6616,0.0,0.6616,0.6616,1.0,fltrust,0.63995
0.05,label_flipping,Oracle (decoupled),0.6582000000000001,0.0,0.6582000000000001,0.6582000000000001,1.0,fltrust,0.63995
0.05,label_flipping,Random,0.6771,0.0,0.6771,0.6771,1.0,fltrust,0.63995
0.05,low_mag_backdoor,AdaAggRL,0.7325999999999999,0.0,0.7325999999999999,0.7325999999999999,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,FedStrategist,0.7227,0.0,0.7227,0.7227,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,GRADF,0.8212999999999999,0.0,0.8212999999999999,0.8212999999999999,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,Oracle (decoupled),0.8506,0.0,0.8506,0.8506,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,Random,0.8362,0.0,0.8362,0.8362,1.0,trimmed_mean,0.76468
0.05,sign_flipping,AdaAggRL,0.7859,0.0,0.7859,0.7859,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,FedStrategist,0.5492,0.0,0.5492,0.5492,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,GRADF,0.5515000000000001,0.0,0.5515000000000001,0.5515000000000001,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,Oracle (decoupled),0.628,0.0,0.628,0.628,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,Random,0.5705,0.0,0.5705,0.5705,1.0,fltrust,0.6482699999999999
0.05,trim_attack,AdaAggRL,0.8039999999999999,0.0,0.8039999999999999,0.8039999999999999,1.0,fltrust,0.6490400000000001
0.05,trim_attack,FedStrategist,0.6117999999999999,0.0,0.6117999999999999,0.6117999999999999,1.0,fltrust,0.6490400000000001
0.05,trim_attack,GRADF,0.5721999999999999,0.0,0.5721999999999999,0.5721999999999999,1.0,fltrust,0.6490400000000001
0.05,trim_attack,Oracle (decoupled),0.4726,0.0,0.4726,0.4726,1.0,fltrust,0.6490400000000001
0.05,trim_attack,Random,0.7083,0.0,0.7083,0.7083,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,AdaAggRL,0.6335,0.0,0.6335,0.6335,1.0,krum,0.89445
0.1,fltrust_aligned,FedStrategist,0.7817999999999999,0.0,0.7817999999999999,0.7817999999999999,1.0,krum,0.89445
0.1,fltrust_aligned,GRADF,0.7828999999999999,0.0,0.7828999999999999,0.7828999999999999,1.0,krum,0.89445
